order_id,customer_id,order_date,delivery_date,shipping_time_days,total_amount,Payment_type
ORD0000067,CUST00023,2026-02-23 01:13:13,2026-03-07 01:13:13,12,254.34,Financing
ORD0000068,CUST00024,2025-02-23 16:09:22,2025-03-02 16:09:22,7,1019.82,Apple Pay
ORD0000069,CUST00025,2024-04-28 16:28:57,2024-04-30 16:28:57,2,546.14,Gift Card
ORD0000070,CUST00025,2024-08-26 17:57:23,2024-08-31 17:57:23,5,676.42,PayPal
ORD0000071,CUST00025,2025-11-02 12:59:17,2025-11-07 12:59:17,5,56.2,Financing
ORD0000072,CUST00025,2026-03-28 12:07:25,2026-04-04 12:07:25,7,798.29,Apple Pay
ORD0000073,CUST00026,2024-12-23 10:49:02,2024-12-27 10:49:02,4,418.41,Gift Card
ORD0000074,CUST00026,2025-12-08 03:10:21,2025-12-12 03:10:21,4,589.27,Gift Card
ORD0000075,CUST00026,2026-04-02 10:05:49,2026-04-07 10:05:49,5,182.42,PayPal
ORD0000076,CUST00027,2025-02-23 05:19:15,2025-02-28 05:19:15,5,393.26,Apple Pay
ORD0000077,CUST00027,2025-12-23 13:10:41,2025-12-27 13:10:41,4,648.58,Gift Card
ORD0000078,CUST00027,2025-09-11 18:24:19,2025-09-17 18:24:19,6,911.0,Apple Pay
ORD0000079,CUST00027,2026-02-09 13:45:08,2026-02-16 13:45:08,7,300.66,PayPal
ORD0000080,CUST00027,2025-11-01 08:53:49,2025-11-06 08:53:49,5,1530.18,Gift Card
ORD0000081,CUST00028,2025-12-30 03:53:38,2026-01-02 03:53:38,3,84.63,Gift Card
ORD0000082,CUST00028,2024-10-19 04:36:14,2024-10-26 04:36:14,7,771.76,PayPal
ORD0000083,CUST00028,2024-11-02 16:03:01,2024-11-05 16:03:01,3,1729.05,PayPal
ORD0000084,CUST00028,2024-08-11 02:05:39,2024-08-19 02:05:39,8,125.75,Gift Card
ORD0000085,CUST00029,2025-12-12 00:09:21,2025-12-18 00:09:21,6,1106.05,PayPal
ORD0000086,CUST00029,2025-10-06 03:12:15,2025-10-20 03:12:15,14,146.59,Financing
ORD0000087,CUST00030,2024-07-02 09:28:47,2024-07-09 09:28:47,7,1104.74,Apple Pay
ORD0000088,CUST00030,2025-01-31 13:31:33,2025-02-06 13:31:33,6,375.33,Financing
ORD0000089,CUST00030,2026-02-15 20:47:55,2026-02-20 20:47:55,5,1854.24,Gift Card
ORD0000090,CUST00031,2024-05-09 12:18:37,2024-05-13 12:18:37,4,376.24,Apple Pay
ORD0000091,CUST00032,2026-02-05 07:46:10,2026-02-12 07:46:10,7,404.07,Credit Card
ORD0000092,CUST00032,2025-04-10 00:43:45,2025-04-14 00:43:45,4,710.15,Financing
ORD0000093,CUST00033,2024-09-29 04:53:47,2024-10-02 04:53:47,3,172.24,Credit Card
ORD0000094,CUST00033,2024-09-11 10:44:18,2024-09-17 10:44:18,6,1108.59,Gift Card
ORD0000095,CUST00033,2026-01-03 16:42:32,2026-01-09 16:42:32,6,505.96,Financing
ORD0000096,CUST00034,2026-03-23 19:36:56,2026-03-28 19:36:56,5,562.95,Gift Card
ORD0000097,CUST00034,2025-04-01 23:06:20,2025-04-07 23:06:20,6,424.75,Apple Pay
ORD0000098,CUST00035,2025-01-06 00:32:12,2025-01-12 00:32:12,6,819.17,Apple Pay
ORD0000099,CUST00035,2024-12-02 11:36:05,2024-12-04 11:36:05,2,263.13,Credit Card
ORD0000100,CUST00035,2026-01-06 18:20:17,2026-01-13 18:20:17,7,85.82,Financing
ORD0000101,CUST00035,2025-12-18 04:44:45,2025-12-22 04:44:45,4,75.54,PayPal
ORD0000102,CUST00036,2026-02-15 05:04:12,2026-02-21 05:04:12,6,240.98,Financing
ORD0000103,CUST00037,2024-10-03 05:07:07,2024-10-07 05:07:07,4,2712.11,Credit Card
ORD0000104,CUST00038,2024-09-29 14:01:39,2024-10-05 14:01:39,6,386.14,Credit Card
ORD0000105,CUST00038,2024-04-27 19:34:06,2024-05-03 19:34:06,6,353.22,Gift Card
ORD0000106,CUST00039,2025-09-04 02:20:30,2025-09-08 02:20:30,4,502.01,Credit Card
ORD0000107,CUST00039,2024-09-06 10:37:53,2024-09-10 10:37:53,4,527.64,Credit Card
ORD0000108,CUST00039,2025-02-12 22:22:32,2025-02-17 22:22:32,5,74.84,PayPal
ORD0000109,CUST00039,2024-12-20 09:40:39,2024-12-26 09:40:39,6,119.29,Gift Card
ORD0000110,CUST00040,2024-11-11 19:58:07,2024-11-14 19:58:07,3,943.45,Apple Pay
ORD0000111,CUST00040,2026-02-09 19:08:17,2026-02-12 19:08:17,3,503.11,PayPal
ORD0000112,CUST00040,2024-06-02 08:31:40,2024-06-08 08:31:40,6,139.81,Financing
ORD0000113,CUST00041,2025-12-01 02:17:05,2025-12-06 02:17:05,5,343.87,Apple Pay
ORD0000114,CUST00041,2024-11-12 05:41:54,2024-11-17 05:41:54,5,154.14,Gift Card
ORD0000115,CUST00042,2025-01-07 04:16:10,2025-01-11 04:16:10,4,164.44,Gift Card
ORD0000116,CUST00042,2025-08-20 16:31:03,2025-08-24 16:31:03,4,774.21,Financing
ORD0000117,CUST00042,2025-05-10 02:26:29,2025-05-16 02:26:29,6,937.93,Credit Card
ORD0000118,CUST00043,2025-02-13 20:58:35,2025-02-18 20:58:35,5,1315.23,Credit Card
ORD0000119,CUST00043,2025-09-19 05:34:01,2025-09-22 05:34:01,3,983.68,Credit Card
ORD0000120,CUST00043,2026-01-24 17:24:55,2026-02-03 17:24:55,10,73.59,Apple Pay
ORD0000121,CUST00044,2025-05-30 22:13:01,2025-06-03 22:13:01,4,88.6,Credit Card
ORD0000122,CUST00044,2024-12-22 15:30:44,2024-12-29 15:30:44,7,357.58,Financing
ORD0000123,CUST00045,2024-04-30 20:56:33,2024-05-06 20:56:33,6,796.21,Financing
ORD0000124,CUST00045,2024-07-08 00:33:26,2024-07-12 00:33:26,4,363.39,PayPal
ORD0000125,CUST00045,2026-02-19 15:36:44,2026-02-24 15:36:44,5,127.07,Credit Card
ORD0000126,CUST00045,2024-10-29 07:50:08,2024-11-02 07:50:08,4,348.75,Financing
ORD0000127,CUST00046,2024-08-26 03:10:36,2024-08-30 03:10:36,4,359.42,Apple Pay
ORD0000128,CUST00047,2025-07-04 09:24:30,2025-07-11 09:24:30,7,1107.35,PayPal
ORD0000129,CUST00047,2024-11-01 15:04:59,2024-11-05 15:04:59,4,495.49,Gift Card
ORD0000130,CUST00048,2024-05-09 03:35:50,2024-05-15 03:35:50,6,198.67,Apple Pay
ORD0000131,CUST00049,2024-07-02 15:12:04,2024-07-07 15:12:04,5,623.47,Financing
ORD0000132,CUST00049,2025-07-16 19:19:32,2025-07-26 19:19:32,10,1094.07,Financing
ORD0000133,CUST00049,2025-03-12 23:17:13,2025-03-17 23:17:13,5,110.59,Credit Card
ORD0000134,CUST00050,2025-01-02 22:30:22,2025-01-10 22:30:22,8,206.45,Financing
ORD0000135,CUST00050,2025-10-27 07:29:44,2025-11-02 07:29:44,6,358.14,Apple Pay
ORD0000136,CUST00050,2025-12-11 06:30:54,2025-12-16 06:30:54,5,1081.7,Financing
ORD0000137,CUST00051,2024-12-09 01:48:01,2024-12-12 01:48:01,3,661.7,Gift Card
ORD0000138,CUST00051,2025-03-14 09:24:10,2025-03-19 09:24:10,5,1488.11,Gift Card
ORD0000139,CUST00051,2025-07-24 06:59:00,2025-07-30 06:59:00,6,524.42,Apple Pay
ORD0000140,CUST00051,2025-05-11 16:02:53,2025-05-15 16:02:53,4,572.89,Gift Card
ORD0000141,CUST00051,2024-07-08 06:13:30,2024-07-15 06:13:30,7,685.58,Apple Pay
ORD0000142,CUST00052,2025-02-02 14:59:40,2025-02-06 14:59:40,4,856.78,PayPal
ORD0000143,CUST00052,2026-03-09 02:24:53,2026-03-15 02:24:53,6,1126.7,Credit Card
ORD0000144,CUST00052,2025-07-01 06:48:41,2025-07-11 06:48:41,10,1159.46,Apple Pay
ORD0000145,CUST00052,2024-09-04 01:45:23,2024-09-10 01:45:23,6,45.96,PayPal
ORD0000146,CUST00053,2024-10-24 06:48:11,2024-10-28 06:48:11,4,293.4,Gift Card
ORD0000147,CUST00053,2024-05-13 21:51:22,2024-05-18 21:51:22,5,1710.42,Financing
ORD0000148,CUST00053,2025-10-11 23:08:48,2025-10-23 23:08:48,12,675.38,PayPal
ORD0000149,CUST00054,2025-03-14 03:07:57,2025-03-19 03:07:57,5,100.29,Gift Card
ORD0000150,CUST00055,2024-04-10 17:57:32,2024-04-20 17:57:32,10,715.78,Gift Card
ORD0000151,CUST00056,2025-05-18 06:26:56,2025-05-24 06:26:56,6,45.24,Gift Card
ORD0000152,CUST00057,2026-03-29 08:24:10,2026-04-03 08:24:10,5,119.24,PayPal
ORD0000153,CUST00057,2025-12-26 20:53:01,2025-12-31 20:53:01,5,375.33,Financing
ORD0000154,CUST00057,2025-06-01 15:54:14,2025-06-07 15:54:14,6,177.23,Apple Pay
ORD0000155,CUST00057,2025-09-24 22:22:35,2025-09-28 22:22:35,4,548.35,Credit Card
ORD0000156,CUST00058,2025-10-20 05:34:42,2025-10-22 05:34:42,2,559.55,Apple Pay
ORD0000157,CUST00058,2025-11-06 17:22:59,2025-11-12 17:22:59,6,1128.01,Credit Card
ORD0000158,CUST00058,2025-11-02 21:48:35,2025-11-07 21:48:35,5,459.46,Apple Pay
ORD0000159,CUST00058,2025-09-12 07:51:10,2025-09-17 07:51:10,5,266.16,Gift Card
ORD0000160,CUST00059,2024-09-09 11:25:56,2024-09-13 11:25:56,4,115.97,Apple Pay
ORD0000161,CUST00059,2025-01-17 08:00:42,2025-01-23 08:00:42,6,118.99,Financing
ORD0000162,CUST00059,2025-03-10 10:23:51,2025-03-22 10:23:51,12,397.34,Apple Pay
ORD0000163,CUST00059,2024-06-02 18:50:15,2024-06-12 18:50:15,10,387.66,Apple Pay
ORD0000164,CUST00059,2025-09-07 08:43:09,2025-09-12 08:43:09,5,139.04,Apple Pay
ORD0000165,CUST00060,2026-03-25 14:50:39,2026-03-27 14:50:39,2,1054.94,Apple Pay
ORD0000166,CUST00060,2024-12-21 21:48:22,2024-12-23 21:48:22,2,715.86,Financing
ORD0000167,CUST00060,2025-08-06 10:53:24,2025-08-13 10:53:24,7,548.68,Gift Card
ORD0000168,CUST00061,2024-12-09 06:14:35,2024-12-15 06:14:35,6,224.0,Apple Pay
ORD0000169,CUST00061,2025-09-06 16:52:12,2025-09-09 16:52:12,3,1745.05,Credit Card
ORD0000170,CUST00061,2026-01-28 02:34:55,2026-02-02 02:34:55,5,332.08,Credit Card
ORD0000171,CUST00061,2024-07-15 05:36:56,2024-07-19 05:36:56,4,457.43,Apple Pay
ORD0000172,CUST00061,2025-10-20 11:37:23,2025-10-25 11:37:23,5,563.58,Credit Card
ORD0000173,CUST00061,2026-03-09 12:31:13,2026-03-13 12:31:13,4,128.05,Financing
ORD0000174,CUST00061,2024-11-28 16:50:39,2024-12-03 16:50:39,5,388.49,Gift Card
ORD0000175,CUST00062,2025-05-08 07:52:48,2025-05-13 07:52:48,5,22.06,PayPal
ORD0000176,CUST00062,2024-12-05 15:54:55,2024-12-08 15:54:55,3,575.06,Gift Card
ORD0000177,CUST00062,2025-09-09 10:12:58,2025-09-13 10:12:58,4,553.91,Gift Card
ORD0000178,CUST00062,2025-02-20 15:25:37,2025-02-23 15:25:37,3,557.99,Apple Pay
ORD0000179,CUST00062,2024-12-18 18:55:17,2024-12-26 18:55:17,8,591.69,PayPal
ORD0000180,CUST00062,2025-02-15 23:43:05,2025-02-18 23:43:05,3,99.21,PayPal
ORD0000181,CUST00063,2025-10-02 23:20:17,2025-10-08 23:20:17,6,719.55,Credit Card
ORD0000182,CUST00063,2024-11-25 01:50:37,2024-11-30 01:50:37,5,96.94,Credit Card
ORD0000183,CUST00063,2025-06-14 01:25:44,2025-06-18 01:25:44,4,579.85,Gift Card
ORD0000184,CUST00064,2024-07-17 07:14:52,2024-07-22 07:14:52,5,152.42,Apple Pay
ORD0000185,CUST00064,2024-09-05 10:35:23,2024-09-10 10:35:23,5,98.8,Credit Card
ORD0000186,CUST00064,2025-03-02 00:07:08,2025-03-08 00:07:08,6,292.84,Credit Card
ORD0000187,CUST00064,2025-09-07 21:36:51,2025-09-10 21:36:51,3,138.25,Apple Pay
ORD0000188,CUST00064,2025-01-28 22:12:41,2025-02-04 22:12:41,7,206.45,Financing
ORD0000189,CUST00064,2025-09-17 12:33:10,2025-09-24 12:33:10,7,264.92,PayPal
ORD0000190,CUST00065,2025-11-11 12:40:13,2025-11-15 12:40:13,4,513.82,Apple Pay
ORD0000191,CUST00065,2026-03-11 15:56:47,2026-03-15 15:56:47,4,1153.79,PayPal
ORD0000192,CUST00066,2024-08-22 14:32:10,2024-09-01 14:32:10,10,1070.02,Credit Card
ORD0000193,CUST00066,2025-07-31 12:27:39,2025-08-06 12:27:39,6,251.75,Credit Card
ORD0000194,CUST00066,2025-06-25 11:19:20,2025-07-01 11:19:20,6,568.22,Apple Pay
ORD0000195,CUST00067,2024-11-29 04:32:37,2024-12-02 04:32:37,3,1469.49,Credit Card
ORD0000196,CUST00067,2025-02-18 20:13:16,2025-02-22 20:13:16,4,26.4,Apple Pay
ORD0000197,CUST00067,2025-06-09 00:43:16,2025-06-12 00:43:16,3,280.3,PayPal
ORD0000198,CUST00067,2026-01-17 00:11:42,2026-01-25 00:11:42,8,26.4,Financing
ORD0000199,CUST00067,2024-04-09 17:59:55,2024-04-15 17:59:55,6,441.67,PayPal
ORD0000200,CUST00068,2024-12-01 11:04:15,2024-12-05 11:04:15,4,592.17,Gift Card
ORD0000201,CUST00068,2024-11-18 06:53:26,2024-11-24 06:53:26,6,347.16,Gift Card
ORD0000202,CUST00069,2024-09-19 16:31:14,2024-09-23 16:31:14,4,327.56,Financing
ORD0000203,CUST00069,2025-03-09 08:07:38,2025-03-14 08:07:38,5,212.35,Credit Card
ORD0000204,CUST00069,2025-12-10 18:02:15,2025-12-13 18:02:15,3,599.46,Apple Pay
ORD0000205,CUST00070,2025-07-03 22:07:52,2025-07-06 22:07:52,3,191.49,PayPal
ORD0000206,CUST00070,2025-07-24 15:25:21,2025-07-28 15:25:21,4,683.75,Gift Card
ORD0000207,CUST00071,2025-08-30 23:01:43,2025-09-04 23:01:43,5,80.62,Financing
ORD0000208,CUST00071,2024-12-15 17:35:32,2024-12-21 17:35:32,6,25.77,PayPal
ORD0000209,CUST00072,2025-04-05 14:26:22,2025-04-09 14:26:22,4,70.82,Apple Pay
ORD0000210,CUST00073,2025-03-18 13:55:10,2025-03-23 13:55:10,5,596.56,Financing
ORD0000211,CUST00073,2025-03-18 20:53:14,2025-03-21 20:53:14,3,94.44,Apple Pay
ORD0000212,CUST00073,2025-09-16 05:02:09,2025-09-24 05:02:09,8,661.95,Apple Pay
ORD0000213,CUST00074,2024-09-22 10:06:51,2024-09-27 10:06:51,5,287.9,Gift Card
ORD0000214,CUST00074,2025-05-11 11:24:19,2025-05-17 11:24:19,6,338.08,Credit Card
ORD0000215,CUST00074,2025-04-11 23:15:40,2025-04-14 23:15:40,3,436.0,Credit Card
ORD0000216,CUST00074,2025-12-16 22:43:53,2025-12-18 22:43:53,2,740.43,PayPal
ORD0000217,CUST00074,2026-03-10 09:39:34,2026-03-12 09:39:34,2,546.03,Gift Card
ORD0000218,CUST00074,2025-12-18 17:24:30,2025-12-22 17:24:30,4,407.86,Gift Card
ORD0000219,CUST00075,2025-11-02 01:44:49,2025-11-09 01:44:49,7,131.16,Apple Pay
ORD0000220,CUST00075,2024-08-19 05:42:29,2024-08-27 05:42:29,8,108.23,Apple Pay
ORD0000221,CUST00076,2025-09-03 04:17:58,2025-09-09 04:17:58,6,138.23,Credit Card
ORD0000222,CUST00076,2024-06-14 07:08:05,2024-06-20 07:08:05,6,449.01,Apple Pay
ORD0000223,CUST00076,2024-11-15 20:35:36,2024-11-19 20:35:36,4,272.26,PayPal
ORD0000224,CUST00076,2025-05-14 19:09:11,2025-05-20 19:09:11,6,571.55,PayPal
ORD0000225,CUST00077,2025-09-07 01:33:49,2025-09-12 01:33:49,5,525.49,Financing
ORD0000226,CUST00077,2025-08-14 01:18:14,2025-08-17 01:18:14,3,702.07,PayPal
ORD0000227,CUST00077,2025-08-03 10:17:22,2025-08-08 10:17:22,5,569.2,Gift Card
ORD0000228,CUST00078,2024-12-25 18:47:36,2024-12-29 18:47:36,4,413.86,PayPal
ORD0000229,CUST00078,2024-06-20 23:17:41,2024-06-28 23:17:41,8,687.8,Gift Card
ORD0000230,CUST00078,2026-01-05 02:57:01,2026-01-10 02:57:01,5,449.24,Gift Card
ORD0000231,CUST00079,2025-11-13 20:39:40,2025-11-19 20:39:40,6,44.78,Gift Card
ORD0000232,CUST00080,2024-10-08 20:41:57,2024-10-13 20:41:57,5,1372.04,Credit Card
ORD0000233,CUST00080,2025-09-14 00:15:06,2025-09-20 00:15:06,6,253.63,Gift Card
ORD0000234,CUST00080,2024-12-06 13:04:10,2024-12-12 13:04:10,6,301.27,Credit Card
ORD0000235,CUST00080,2024-09-30 22:02:12,2024-10-07 22:02:12,7,204.99,Apple Pay
ORD0000236,CUST00081,2025-12-26 21:51:12,2026-01-02 21:51:12,7,968.72,Credit Card
ORD0000237,CUST00082,2024-09-11 02:28:56,2024-09-15 02:28:56,4,25.58,Gift Card
ORD0000238,CUST00082,2024-08-01 21:18:30,2024-08-07 21:18:30,6,1365.19,Apple Pay
ORD0000239,CUST00082,2024-04-28 09:45:13,2024-05-03 09:45:13,5,529.86,Credit Card
ORD0000240,CUST00082,2024-05-15 07:55:03,2024-05-22 07:55:03,7,196.26,PayPal
ORD0000241,CUST00083,2024-10-16 14:37:37,2024-10-18 14:37:37,2,412.82,PayPal
ORD0000242,CUST00083,2025-04-13 11:36:53,2025-04-15 11:36:53,2,509.12,Credit Card
ORD0000243,CUST00083,2025-07-28 05:24:14,2025-08-03 05:24:14,6,586.36,Financing
ORD0000244,CUST00084,2026-01-29 10:41:24,2026-02-02 10:41:24,4,293.72,Financing
ORD0000245,CUST00084,2025-11-27 08:06:39,2025-12-02 08:06:39,5,170.56,Apple Pay
ORD0000246,CUST00084,2024-06-05 00:02:52,2024-06-08 00:02:52,3,483.12,Gift Card
ORD0000247,CUST00085,2025-03-29 04:00:14,2025-04-03 04:00:14,5,123.85,Gift Card
ORD0000248,CUST00085,2025-02-25 08:10:18,2025-03-02 08:10:18,5,519.93,Gift Card
ORD0000249,CUST00086,2026-02-26 17:13:14,2026-03-04 17:13:14,6,773.63,PayPal
ORD0000250,CUST00086,2025-08-11 14:06:32,2025-08-18 14:06:32,7,1290.25,Gift Card
ORD0000251,CUST00086,2025-06-30 13:42:53,2025-07-05 13:42:53,5,424.12,Apple Pay
ORD0000252,CUST00087,2024-09-07 10:58:00,2024-09-12 10:58:00,5,189.73,Gift Card
ORD0000253,CUST00088,2025-10-19 09:22:11,2025-10-26 09:22:11,7,1020.7,Apple Pay
ORD0000254,CUST00089,2025-10-02 07:24:55,2025-10-12 07:24:55,10,317.03,Gift Card
ORD0000255,CUST00089,2025-02-01 16:18:31,2025-02-03 16:18:31,2,326.35,Financing
ORD0000256,CUST00089,2025-04-28 10:17:23,2025-05-02 10:17:23,4,875.39,Financing
ORD0000257,CUST00090,2025-02-13 20:30:02,2025-02-17 20:30:02,4,184.32,Credit Card
ORD0000258,CUST00090,2024-10-15 22:37:51,2024-10-22 22:37:51,7,197.76,Credit Card
ORD0000259,CUST00090,2024-08-02 01:21:38,2024-08-08 01:21:38,6,190.66,Financing
ORD0000260,CUST00091,2025-09-01 00:14:20,2025-09-06 00:14:20,5,167.0,Credit Card
ORD0000261,CUST00091,2025-09-25 12:38:32,2025-09-30 12:38:32,5,525.63,PayPal
ORD0000262,CUST00091,2024-04-13 17:47:39,2024-04-18 17:47:39,5,1271.84,PayPal
ORD0000263,CUST00091,2026-03-03 18:48:59,2026-03-10 18:48:59,7,1111.04,Gift Card
ORD0000264,CUST00092,2025-11-13 17:25:25,2025-11-17 17:25:25,4,456.12,Credit Card
ORD0000265,CUST00092,2026-02-06 18:12:21,2026-02-12 18:12:21,6,83.19,Credit Card
ORD0000266,CUST00092,2025-11-28 13:07:57,2025-12-03 13:07:57,5,1037.99,Credit Card
ORD0000267,CUST00092,2026-02-26 04:41:57,2026-03-02 04:41:57,4,276.03,PayPal
ORD0000268,CUST00092,2024-07-01 05:21:45,2024-07-03 05:21:45,2,512.38,Apple Pay
ORD0000269,CUST00092,2025-12-05 01:14:22,2025-12-07 01:14:22,2,651.2,PayPal
ORD0000270,CUST00093,2025-03-05 15:43:51,2025-03-08 15:43:51,3,117.06,Gift Card
ORD0000271,CUST00093,2024-09-26 09:55:33,2024-10-02 09:55:33,6,76.26,Financing
ORD0000272,CUST00093,2024-08-24 01:11:48,2024-08-27 01:11:48,3,294.23,Gift Card
ORD0000273,CUST00094,2025-12-25 00:07:31,2025-12-29 00:07:31,4,1012.41,Credit Card
