sku_id,embedding_vector,last_updated
SKU00011,"0.542702,0.734264,0.576356,0.430636,0.000000,-0.035276,0.003251,0.112757,0.052154,0.130018,0.110858,0.002891,-0.029688,-0.047023,0.137591,0.021220,0.162961,0.122474,0.121609,-0.021998,-0.001598,0.226053,-0.015887,-0.051675,0.087299,-0.019183,-0.065889,0.103346,-0.045530,0.016191,-0.014333,-0.023315,0.087730,0.086058,0.068892,-0.019236,0.109590,-0.030319,-0.085888,0.045646,-0.096128,-0.003732,-0.039985,-0.071436,0.004119,0.093096,-0.022415,-0.099995,-0.088011,0.028244",2026-03-18 21:57:15.979132
SKU00012,"0.917836,0.902832,0.670033,0.623327,0.000000,-0.200730,0.060735,-0.105528,0.078087,-0.017004,-0.063545,0.134673,0.108610,-0.031110,-0.108624,-0.044439,0.156108,-0.074949,0.160258,0.134118,0.094432,-0.027004,-0.054441,0.188926,0.139083,0.106484,-0.040094,0.015033,-0.148917,-0.069966,-0.097296,0.066670,-0.028477,-0.020633,-0.197291,0.128702,-0.162470,-0.059769,0.091611,-0.048327,0.212307,-0.202988,-0.050029,0.125351,-0.139152,-0.045922,-0.026020,0.189830,0.037196,0.006552",2026-03-18 21:57:15.979177
SKU00013,"0.529673,0.936837,0.846013,0.621453,0.000000,0.551049,-0.028976,0.074628,0.072727,-0.192920,-0.038608,-0.258893,0.084090,-0.052111,0.178806,0.073293,-0.026068,-0.055963,0.033053,-0.173101,0.041835,0.106605,0.063211,-0.001850,0.062913,-0.137046,-0.045099,0.060523,-0.107690,0.015857,0.234821,-0.260334,0.134787,-0.021171,-0.002675,0.051202,-0.214596,0.044130,0.015742,0.138144,0.106892,0.043007,0.035298,-0.025152,0.069939,-0.037092,-0.027346,-0.000701,-0.033555,-0.147340",2026-04-05 21:57:15.979222
SKU00014,"0.927987,0.612506,0.824232,0.507617,0.000000,-0.044813,0.125387,0.081605,-0.152617,0.018611,-0.108171,-0.142740,0.024225,-0.048883,0.028993,-0.004390,0.131565,0.127044,0.112833,0.020153,-0.044203,0.090914,0.049644,-0.080475,-0.014702,-0.095470,-0.119858,0.042491,0.035514,-0.125432,0.167856,0.249873,0.114236,0.012502,0.053779,0.114009,-0.010588,0.204759,0.055420,-0.068955,0.147746,-0.064648,-0.155847,0.002194,-0.012023,-0.055801,-0.083381,-0.084476,0.076167,0.026047",2026-03-20 21:57:15.979266
SKU00015,"0.955245,0.635155,0.862639,0.338201,0.000000,-0.033243,0.002903,0.140572,-0.110457,0.159672,-0.042492,0.125175,-0.029436,-0.070790,-0.158322,0.025927,0.089510,0.087675,0.064951,0.078676,-0.059858,-0.168875,-0.142436,0.083203,0.097116,0.027591,-0.073085,0.102685,-0.081826,-0.053278,0.033077,0.046198,0.131723,0.275706,0.209791,0.120872,0.118015,0.022862,0.152514,-0.059425,-0.077232,0.175054,0.041712,-0.098597,-0.172805,0.043363,-0.077950,-0.136997,0.073133,0.073537",2026-03-24 21:57:15.979311
SKU00016,"0.501084,0.446678,0.712925,0.500025,0.000000,0.161423,0.134803,-0.029574,0.043638,-0.015515,-0.029069,-0.094938,0.077403,0.094043,-0.067921,-0.071864,0.090084,-0.123822,-0.061679,0.111929,-0.027667,0.166289,-0.074712,0.045433,0.173343,-0.054493,0.042470,0.049214,0.033597,0.077597,0.010312,0.109348,-0.156311,-0.017706,0.055192,-0.088632,0.007492,-0.057233,-0.051790,-0.107416,-0.070462,0.014980,0.100704,0.068186,-0.095739,0.018775,-0.001263,0.116835,-0.081746,-0.086907",2026-03-19 21:57:15.979354
SKU00017,"0.800472,0.455709,0.857311,0.567758,0.000000,-0.093634,-0.132252,0.028188,0.016390,0.032018,-0.084245,0.018787,-0.108094,-0.071016,-0.025522,0.164317,-0.011549,-0.019616,-0.067973,-0.118767,-0.034801,0.029489,0.044550,0.124313,-0.019547,-0.119386,0.009863,-0.059268,-0.023080,0.053293,0.006672,-0.038147,0.027709,-0.115077,-0.062685,0.089836,-0.035409,0.065649,0.239966,-0.208572,0.071196,0.037679,-0.161669,0.013840,0.019283,-0.179908,0.083375,-0.085017,0.050385,0.047609",2026-03-12 21:57:15.979397
SKU00018,"0.596481,0.440885,0.913438,0.328016,0.000000,0.544246,0.092072,0.039023,0.018560,-0.140091,-0.005750,-0.061455,0.133126,0.019664,0.067002,-0.063662,0.030950,-0.120729,-0.022642,0.061718,0.006226,-0.173541,0.109300,0.013837,-0.089971,0.068709,0.109692,-0.057272,0.145465,-0.061271,0.145816,-0.005214,0.059617,-0.099885,0.125739,-0.007258,-0.029737,-0.093358,0.169205,-0.002381,-0.050688,0.155431,0.154960,-0.095782,-0.021946,-0.009242,0.026255,-0.044861,0.111868,-0.045488",2026-03-19 21:57:15.979442
SKU00019,"0.509463,0.965938,0.663077,0.481113,0.000000,-0.019159,0.007566,-0.053033,-0.018372,0.097316,0.067128,-0.039185,-0.003970,-0.085929,-0.028807,-0.044514,-0.091495,0.011510,0.053894,-0.059424,0.090435,0.115499,0.030245,-0.036583,-0.084567,0.207570,0.033181,-0.188265,-0.032798,-0.066162,0.030145,-0.053532,0.071822,0.014110,0.031706,-0.064380,-0.230620,-0.025179,-0.107075,-0.046699,-0.016435,-0.059280,-0.113493,-0.260624,-0.050601,0.001232,-0.089149,0.019839,-0.030374,-0.013666",2026-04-05 21:57:15.979485
SKU00020,"0.865517,0.701555,0.588251,0.383016,0.000000,-0.088138,0.026387,0.051694,-0.050423,0.106512,-0.028300,-0.000866,0.048622,0.154895,0.088556,-0.060542,-0.149880,0.038462,-0.026038,-0.150608,0.028497,-0.120333,-0.003737,-0.062802,-0.016605,0.160389,-0.115032,0.198647,-0.166142,-0.014792,0.048178,-0.054945,-0.065141,0.144287,0.049561,-0.038828,-0.191504,0.173305,0.043680,-0.047264,-0.000563,0.038771,-0.003653,-0.134585,0.165094,0.019553,-0.045851,0.025672,-0.120910,0.027910",2026-03-15 21:57:15.979528
SKU00021,"0.747276,0.919942,0.691346,0.337963,0.000000,-0.055691,0.151827,0.043625,0.215209,-0.016058,0.091465,0.041213,0.046157,-0.021687,-0.036045,-0.119948,-0.103239,0.040987,0.098870,-0.082486,0.022259,0.043798,0.090351,-0.018610,0.099463,0.059694,0.017945,0.152423,-0.023011,-0.118097,0.007649,0.057891,-0.036200,-0.133506,-0.062583,0.110584,-0.054977,0.104219,-0.043638,-0.040862,0.261344,0.011988,-0.005869,-0.048894,-0.204963,0.075441,0.054151,0.007487,-0.064454,-0.010748",2026-03-17 21:57:15.979570
SKU00022,"0.755311,0.436135,0.846944,0.636951,0.000000,-0.112033,-0.083185,-0.109802,0.048422,0.157640,0.101494,0.126032,0.102594,-0.161934,-0.204136,-0.078674,-0.033173,-0.055761,0.045041,0.055294,0.182689,0.026060,0.135633,0.024743,-0.051376,0.110957,-0.043642,0.192029,-0.009687,0.013754,0.050231,0.084121,-0.075824,-0.091480,-0.062778,-0.077138,0.055875,-0.190517,0.038052,0.075112,-0.044975,-0.027200,-0.028316,-0.005039,0.120433,-0.059767,-0.075053,0.129555,-0.004395,-0.011826",2026-03-25 21:57:15.979612
SKU00023,"0.679518,0.889641,0.786754,0.554553,0.000000,0.498822,0.104289,0.006682,-0.077775,-0.084876,0.259071,0.037762,-0.133594,-0.102628,0.041244,-0.119877,0.102192,0.125812,-0.070439,-0.115363,0.049999,0.153332,0.042272,0.090395,0.257787,-0.027987,0.162345,-0.060703,0.004603,0.043522,-0.109160,0.072227,0.084814,0.107598,0.072983,-0.107281,0.108011,-0.013572,-0.000087,0.143164,-0.063668,0.083581,-0.193371,-0.125332,0.027152,0.051454,-0.097620,-0.090708,0.019954,-0.070772",2026-04-08 21:57:15.979655
SKU00024,"0.593184,0.609760,0.891544,0.582171,0.000000,0.265039,0.075040,-0.155892,0.108813,-0.022519,0.190425,0.109273,-0.026778,0.070957,0.112331,-0.026442,0.081171,-0.040469,-0.133885,-0.238309,0.069157,0.088526,-0.154681,-0.108112,0.098255,-0.092298,0.043263,-0.239876,0.016258,0.077758,-0.276780,0.046123,0.022264,-0.005131,0.095377,-0.029046,0.092727,-0.038986,-0.083323,0.016004,0.119499,0.150944,-0.040005,0.009073,-0.130044,0.066650,0.020458,-0.028066,0.053710,0.118568",2026-03-31 21:57:15.979697
SKU00025,"0.951348,0.692228,0.873789,0.497797,0.000000,-0.078063,-0.042882,0.020516,-0.072048,0.027848,0.008794,0.109429,0.045296,0.087521,0.009151,-0.127249,-0.108034,-0.148571,-0.014664,0.114643,0.167892,-0.106934,-0.096528,-0.027257,-0.193415,0.103470,0.115476,0.108019,0.003676,-0.001755,0.059491,0.031350,0.030470,0.062690,0.202229,-0.126328,-0.071342,0.004135,0.074973,-0.006996,-0.014909,-0.021953,0.107789,0.037596,-0.091371,-0.006323,0.068887,0.021233,-0.002387,-0.012611",2026-03-19 21:57:15.979739
SKU00026,"0.789368,0.798350,0.536471,0.555435,0.000000,-0.152664,0.025375,0.109964,0.025713,-0.030941,0.079140,-0.218650,-0.000065,0.099313,0.019579,0.041546,-0.116038,-0.065122,-0.061550,0.070048,-0.006039,-0.067112,-0.051105,0.128313,-0.081053,0.047043,0.109020,-0.042991,-0.052508,-0.017889,0.007177,-0.020979,0.104754,0.029357,-0.012815,0.157662,-0.052709,0.015177,0.050067,-0.007849,0.095552,0.145520,0.037486,0.101030,-0.067928,0.161535,-0.048560,-0.055079,-0.052579,0.085853",2026-03-29 21:57:15.979781
SKU00027,"0.928308,0.816507,0.933346,0.516923,0.000000,0.005333,-0.024031,-0.109662,-0.070870,-0.149884,0.014640,0.077332,-0.178422,0.101712,-0.064472,0.049843,0.124387,0.006533,-0.102853,-0.149390,0.118228,0.092837,0.128184,-0.056018,0.021594,0.063459,0.096554,-0.018508,-0.049594,-0.145664,-0.019669,-0.146419,-0.015516,0.019617,0.022547,-0.035811,0.126781,-0.167220,-0.039501,-0.038725,0.085022,-0.133009,0.128723,0.016795,0.022288,-0.056187,-0.142232,0.141322,0.009992,0.005249",2026-04-01 21:57:15.979824
SKU00028,"0.896353,0.509304,0.927889,0.505421,0.000000,0.017290,0.032120,0.010494,-0.077859,0.109262,-0.067443,0.008744,0.013215,-0.066744,0.064403,0.032896,0.120138,0.044178,0.070212,0.285154,-0.110025,-0.142898,0.022789,-0.056367,-0.165321,0.122014,0.013660,-0.227583,-0.036174,-0.006784,0.085004,-0.089655,0.085444,-0.054811,-0.139941,0.057073,-0.089288,-0.064758,-0.166431,-0.098348,-0.059090,-0.002340,0.044157,-0.102939,0.067330,0.048601,-0.010457,0.047117,0.029663,0.127794",2026-03-22 21:57:15.979866
SKU00029,"0.721734,0.756997,0.715972,0.442998,0.000000,-0.175167,-0.236433,0.126331,-0.147327,0.055490,0.032081,0.127390,-0.004319,-0.057786,-0.060209,0.089724,0.035132,-0.027387,-0.195859,0.132504,0.049180,0.090481,0.098131,-0.033840,0.121509,-0.023896,-0.038281,-0.044918,-0.001995,-0.178219,0.130115,-0.030202,0.084632,0.101849,0.162469,-0.041354,0.096908,0.024510,-0.204182,-0.008428,-0.086725,-0.100818,-0.022861,-0.025723,-0.031439,-0.104770,-0.106463,-0.031403,-0.001441,-0.062391",2026-04-07 21:57:15.979908
SKU00030,"0.879243,0.913533,0.716407,0.500596,0.000000,0.184858,-0.031964,-0.092732,-0.162782,0.069664,-0.012658,-0.091653,0.008889,0.046366,-0.189487,-0.198471,0.034088,-0.025870,-0.069681,0.046811,-0.043263,-0.045396,-0.189477,-0.003974,0.188955,0.120009,0.022729,-0.092562,0.063454,-0.001731,0.119344,-0.001934,-0.104099,-0.198412,0.061351,-0.031773,-0.017524,-0.097637,0.139717,-0.088443,0.047884,-0.122619,0.036267,-0.041011,0.082567,0.198319,-0.018813,-0.005696,0.032142,0.071721",2026-04-07 21:57:15.979952
SKU00031,"0.736940,0.964945,0.594798,0.378419,0.000000,-0.257408,0.076499,-0.162760,0.112999,0.002701,-0.000131,0.097108,-0.057113,-0.198925,0.022495,0.156401,0.025689,-0.070829,-0.239144,0.118857,0.087223,0.027149,-0.039681,-0.015135,-0.011790,-0.009704,-0.009397,-0.028335,0.056499,0.078690,0.134943,-0.139317,-0.298597,-0.131250,0.053184,0.074992,-0.259521,-0.075310,-0.001427,0.085653,-0.010640,-0.183674,0.023785,0.018927,-0.089276,-0.067228,-0.077013,-0.035794,-0.038952,-0.111740",2026-03-11 21:57:15.979994
SKU00032,"0.879433,0.701011,0.661663,0.661337,0.000000,0.082633,-0.019250,-0.139693,0.089955,-0.117071,0.242117,-0.061321,-0.197701,-0.085754,0.087714,0.008877,0.026312,0.023692,-0.112336,-0.026933,0.088567,-0.067464,-0.049472,0.240749,-0.113757,0.223708,-0.115670,0.046530,0.115747,0.092167,0.002653,-0.046391,0.032921,0.049128,0.118014,0.018893,0.123109,0.088464,0.111236,0.037143,0.086818,0.065621,0.079262,0.008020,-0.152535,-0.022069,-0.024296,0.108839,0.041888,0.186559",2026-03-22 21:57:15.980036
SKU00033,"0.737722,0.453086,0.564594,0.379773,0.000000,-0.038760,-0.092226,-0.136687,0.027575,0.004620,-0.067917,0.036103,-0.027784,-0.139823,0.059605,0.078555,0.011769,0.074374,0.028760,0.032761,0.002143,-0.115219,0.175000,0.047909,0.049356,0.106564,0.170981,0.028794,-0.061097,-0.028295,-0.098170,-0.037083,0.128562,-0.053403,-0.133730,0.055066,-0.214880,0.017166,0.112156,-0.085209,0.133633,0.174675,0.155720,-0.069642,0.017421,-0.027574,-0.192800,0.127371,-0.119029,-0.201494",2026-04-03 21:57:15.980079
SKU00034,"0.851156,0.726878,0.891005,0.541783,0.000000,-0.069685,0.060785,0.145587,0.180304,-0.122640,-0.026984,-0.004532,0.056205,-0.012237,0.099704,-0.041666,0.081276,-0.072128,0.216610,-0.086180,0.064096,0.019603,0.056757,0.015655,0.039598,0.049015,-0.083165,-0.132793,0.010383,-0.029054,0.099729,0.170808,-0.102605,-0.064075,-0.119537,-0.055350,0.028200,-0.028223,-0.125678,-0.158689,0.007360,-0.045048,0.106411,0.168397,-0.036723,0.159800,-0.010191,0.036364,-0.055713,-0.071205",2026-03-31 21:57:15.980122
SKU00035,"0.873774,0.740649,0.545639,0.574713,0.000000,0.143794,-0.134905,0.051058,-0.000745,0.055992,-0.005937,0.061491,-0.040591,-0.016646,0.016315,-0.032398,0.022962,0.057287,0.077125,-0.084817,-0.239193,-0.206930,-0.109172,-0.097323,-0.002393,-0.105295,0.012027,-0.020251,0.011313,0.086011,0.114136,-0.036741,0.093872,0.151706,0.051970,-0.016662,-0.072280,0.022735,-0.128722,-0.009061,0.075612,-0.001635,-0.111461,0.170029,-0.020352,-0.090342,0.088498,-0.007419,-0.016337,0.292998",2026-04-08 21:57:15.980165
SKU00036,"0.665979,0.940470,0.802141,0.489035,0.000000,-0.068803,-0.036203,-0.077999,0.008551,-0.030291,-0.041114,0.005406,-0.082581,-0.002021,-0.122435,0.180178,-0.072967,-0.033819,0.121081,0.084127,0.107553,-0.165168,0.037125,-0.040451,-0.159836,0.000947,-0.042892,0.137928,-0.089664,0.015693,0.228641,-0.145761,-0.019013,-0.058604,0.039351,-0.104395,0.038377,0.079244,0.110903,0.119066,0.094160,-0.101427,-0.095831,-0.078371,0.089384,0.022734,-0.046912,0.043779,-0.005544,0.108111",2026-03-21 21:57:15.980225
SKU00037,"0.527045,0.720143,0.605170,0.455587,0.000000,0.079155,-0.020943,-0.136002,-0.043709,-0.043547,-0.068143,-0.030509,-0.003028,-0.080522,-0.049535,-0.142310,-0.065101,0.003226,-0.100968,0.001977,-0.037906,0.009771,0.086784,-0.052282,-0.030022,-0.006143,-0.075457,0.025049,-0.005532,-0.042292,0.144746,-0.120195,0.106673,-0.144921,-0.062169,0.044700,-0.099981,0.133996,0.103087,-0.080546,-0.227176,-0.226167,-0.175113,-0.155945,-0.107074,-0.180786,-0.078814,-0.123694,-0.112838,-0.058850",2026-03-15 21:57:15.980272
SKU00038,"0.691014,0.883498,0.516272,0.421376,0.000000,0.045513,0.129552,-0.009912,-0.131533,-0.105072,-0.106118,-0.043621,-0.131767,-0.131081,0.077472,0.078405,-0.050596,-0.113059,0.073881,0.031230,-0.111280,0.106460,-0.017536,-0.022686,0.016358,-0.079731,0.107618,-0.109250,-0.247767,-0.033572,-0.043755,-0.171280,0.003403,-0.074400,-0.100244,0.051892,0.117074,-0.081338,-0.048707,0.023050,-0.034772,0.125139,0.131745,0.075318,0.044810,-0.161374,0.084754,-0.088149,-0.004467,-0.035755",2026-03-25 21:57:15.980316
SKU00039,"0.627013,0.981119,0.871340,0.483850,0.000000,0.362784,-0.145031,-0.030860,0.050544,0.081476,0.013742,-0.119118,0.017284,-0.066494,0.098716,0.220857,0.012686,0.032123,-0.095668,-0.034934,-0.181440,-0.053908,0.052474,0.107759,0.085555,-0.046094,-0.020676,-0.047370,-0.055327,0.073910,-0.139139,-0.055304,-0.128026,0.033935,0.061298,0.080095,0.202460,0.024967,-0.002326,0.033421,-0.121083,0.043315,-0.024215,0.012392,-0.020718,0.142182,-0.002743,0.062700,0.057850,0.028528",2026-03-17 21:57:15.980360
SKU00040,"0.540817,0.670755,0.674185,0.517440,0.000000,-0.055424,-0.070812,0.021967,0.144213,-0.076576,0.320287,-0.111655,0.041577,0.023384,-0.052089,0.003148,-0.145374,-0.012089,-0.123389,0.051178,-0.037950,0.123761,0.081020,-0.079144,-0.079611,0.263178,-0.145247,-0.094733,-0.010957,-0.128195,0.048705,-0.112766,0.070015,-0.162707,-0.105759,-0.214597,0.020177,-0.077150,0.188550,-0.037988,-0.204219,-0.079774,0.022713,0.129626,0.111399,0.050684,-0.005219,-0.015289,-0.205890,0.042489",2026-03-15 21:57:15.980404
SKU00041,"0.493174,0.780050,0.602134,0.486020,0.000000,-0.121777,-0.030606,0.134310,-0.026106,0.003157,-0.151439,0.023501,0.092257,0.044636,0.080598,-0.156933,-0.015997,0.081079,-0.094127,0.107117,-0.075118,-0.049890,0.042531,0.054769,-0.007953,-0.087590,-0.004139,0.094739,0.169267,-0.120918,-0.032140,0.117257,-0.068522,-0.193047,-0.010072,-0.092823,0.077930,0.017697,0.098297,0.106871,0.070141,-0.181035,-0.188913,-0.103828,-0.013554,-0.002740,0.105952,0.034019,0.034189,0.053594",2026-03-19 21:57:15.980447
SKU00042,"0.628886,0.650093,0.713451,0.471582,0.000000,-0.074448,0.037759,0.029843,0.245786,-0.075533,0.004249,0.123053,0.015827,0.031729,0.116722,0.108328,-0.132527,0.032584,0.010870,-0.044736,0.012502,0.137472,0.051956,0.111066,-0.049408,0.085664,-0.095460,0.029156,0.109451,0.115854,0.010323,-0.141666,-0.038380,0.058316,-0.045751,-0.045063,0.099001,0.014502,0.053038,-0.168953,0.017010,0.047205,-0.048485,0.030361,0.156993,0.064689,-0.042583,0.140289,-0.109727,0.005715",2026-04-02 21:57:15.980490
SKU00043,"0.793121,0.816895,0.765656,0.533523,0.000000,-0.454861,-0.066006,-0.062356,0.163307,-0.025073,-0.069667,-0.155374,-0.155537,-0.094505,-0.092243,-0.115052,-0.019105,-0.018820,-0.061770,-0.074337,-0.068385,-0.159225,0.068816,-0.074942,0.108641,0.084866,0.025356,0.056257,-0.123213,-0.225084,0.157692,0.075153,0.010649,-0.058195,-0.039356,-0.033107,0.059668,0.004033,-0.104694,-0.175815,-0.034343,0.106979,0.051857,-0.008332,0.012842,0.179459,-0.018162,0.057978,0.026711,0.079889",2026-03-21 21:57:15.980533
SKU00044,"0.741347,0.865217,0.500846,0.450070,0.000000,-0.069116,0.245332,0.092483,-0.129210,-0.195292,0.075227,0.105896,0.070118,0.031605,0.029317,-0.013633,-0.053776,0.103796,0.136795,0.000148,0.085517,-0.127998,-0.044543,0.083303,0.073194,-0.071694,-0.138054,-0.054580,0.032021,-0.201610,0.198358,0.059862,-0.195862,-0.070870,-0.257700,-0.073997,0.015960,-0.069825,-0.035316,0.224603,-0.042243,0.120493,-0.112727,0.058816,0.162556,0.067975,-0.032977,-0.077704,0.079085,0.031355",2026-03-16 21:57:15.980576
SKU00045,"0.642956,0.796451,0.836249,0.429865,0.000000,-0.041478,-0.040996,-0.121249,-0.029028,0.301476,0.000612,0.136049,-0.076288,-0.026068,0.088786,-0.076396,-0.151333,0.040549,-0.014693,-0.117976,0.148927,-0.021603,0.089186,0.057816,-0.063496,-0.071423,0.033233,-0.230007,-0.108186,0.021104,-0.131633,-0.019785,0.059732,0.120397,-0.056396,-0.005902,-0.047453,-0.164168,-0.053973,-0.066872,0.179084,-0.023071,-0.028645,-0.003507,-0.030640,-0.119054,0.024940,0.024951,-0.032137,0.056574",2026-03-25 21:57:15.980617
SKU00046,"0.517838,0.614515,0.624074,0.585882,0.000000,-0.664259,0.032247,-0.036369,0.200773,-0.032690,-0.100236,-0.018680,-0.013109,-0.086127,-0.016005,-0.000951,-0.020143,-0.065979,0.008122,-0.117795,0.153556,-0.034178,-0.093093,0.120947,-0.096569,-0.004332,-0.000773,0.074535,0.022295,-0.131415,0.269078,0.187496,-0.080278,0.079594,-0.102439,0.088947,-0.036380,-0.037686,-0.029840,-0.096091,0.053603,0.076470,-0.009826,0.124180,0.044692,0.051576,0.174200,0.090208,-0.050159,-0.212105",2026-03-18 21:57:15.980660
SKU00047,"0.857017,0.645908,0.887063,0.437651,0.000000,-0.105598,0.129793,-0.013344,0.063725,-0.092632,-0.126123,-0.128986,-0.046476,-0.028838,0.132673,0.032406,0.266248,-0.068300,-0.032921,-0.006195,-0.089787,0.039489,-0.013151,-0.063973,0.033450,-0.065426,-0.003424,0.100777,-0.014172,0.076167,-0.014189,0.036514,-0.143502,-0.106049,0.011123,0.079953,-0.064739,-0.098388,-0.108728,0.093569,-0.144975,-0.131343,-0.042893,0.163693,-0.016350,0.047475,0.193312,-0.065371,-0.115304,-0.141163",2026-03-20 21:57:15.980704
