sku_id,date,avg_rating,return_rate,sentiment_score,delivery_score,quality_score,Value_score
SKU00002,2024-03-24,4.69,0.263,0.749,0.819,0.808,0.737
SKU00002,2024-03-31,4.76,0.272,0.778,0.833,0.823,0.751
SKU00002,2024-04-07,5.0,0.339,1.0,0.945,0.935,0.863
SKU00002,2024-04-14,5.0,0.302,0.88,0.884,0.874,0.802
SKU00002,2024-04-21,4.68,0.261,0.743,0.816,0.805,0.733
SKU00002,2024-04-28,4.97,0.297,0.861,0.875,0.864,0.792
SKU00002,2024-05-05,5.0,0.335,0.99,0.939,0.929,0.857
SKU00002,2024-05-12,5.0,0.303,0.882,0.885,0.875,0.803
SKU00002,2024-05-19,4.85,0.282,0.812,0.85,0.84,0.768
SKU00002,2024-05-26,5.0,0.299,0.87,0.879,0.869,0.797
SKU00002,2024-06-02,4.78,0.274,0.784,0.836,0.826,0.754
SKU00002,2024-06-09,4.95,0.294,0.852,0.87,0.86,0.788
SKU00002,2024-06-16,4.64,0.257,0.729,0.809,0.798,0.726
SKU00002,2024-06-23,5.0,0.333,0.982,0.935,0.925,0.853
SKU00002,2024-06-30,5.0,0.314,0.917,0.903,0.892,0.82
SKU00002,2024-07-07,4.88,0.286,0.824,0.856,0.846,0.774
SKU00002,2024-07-14,4.83,0.28,0.805,0.846,0.836,0.764
SKU00002,2024-07-21,5.0,0.305,0.889,0.888,0.878,0.806
SKU00002,2024-07-28,5.0,0.323,0.95,0.919,0.909,0.837
SKU00002,2024-08-04,4.96,0.295,0.854,0.871,0.861,0.789
SKU00002,2024-08-11,5.0,0.307,0.894,0.891,0.881,0.809
SKU00002,2024-08-18,5.0,0.316,0.926,0.907,0.897,0.825
SKU00002,2024-08-25,4.96,0.296,0.857,0.873,0.862,0.791
SKU00002,2024-09-01,5.0,0.303,0.884,0.886,0.876,0.804
SKU00002,2024-09-08,5.0,0.319,0.935,0.911,0.901,0.829
SKU00002,2024-09-15,4.83,0.279,0.803,0.845,0.835,0.763
SKU00002,2024-09-22,5.0,0.314,0.918,0.903,0.893,0.821
SKU00002,2024-09-29,5.0,0.317,0.93,0.909,0.899,0.827
SKU00002,2024-10-06,4.96,0.295,0.854,0.871,0.861,0.789
SKU00002,2024-10-13,4.75,0.27,0.773,0.831,0.82,0.749
SKU00002,2024-10-20,5.0,0.312,0.912,0.9,0.89,0.818
SKU00002,2024-10-27,5.0,0.334,0.985,0.937,0.926,0.854
SKU00002,2024-11-03,5.0,0.308,0.899,0.893,0.883,0.811
SKU00002,2024-11-10,4.75,0.27,0.771,0.83,0.819,0.747
SKU00002,2024-11-17,4.81,0.277,0.796,0.842,0.832,0.76
SKU00002,2024-11-24,5.0,0.311,0.908,0.898,0.888,0.816
SKU00002,2024-12-01,4.71,0.265,0.756,0.822,0.812,0.74
SKU00002,2024-12-08,5.0,0.347,1.0,0.959,0.949,0.877
SKU00002,2024-12-15,4.71,0.265,0.756,0.822,0.812,0.74
SKU00002,2024-12-22,5.0,0.314,0.92,0.904,0.894,0.822
SKU00002,2024-12-29,4.96,0.295,0.857,0.872,0.862,0.79
SKU00002,2025-01-05,4.8,0.276,0.793,0.841,0.83,0.758
SKU00002,2025-01-12,5.0,0.305,0.887,0.888,0.877,0.805
SKU00003,2024-01-07,4.42,0.248,0.72,0.876,0.52,0.737
SKU00003,2024-01-14,4.38,0.243,0.701,0.866,0.51,0.728
SKU00003,2024-01-21,4.43,0.249,0.724,0.878,0.522,0.739
SKU00003,2024-01-28,4.5,0.256,0.752,0.892,0.536,0.753
SKU00003,2024-02-04,4.59,0.265,0.787,0.909,0.553,0.77
SKU00003,2024-02-11,4.54,0.259,0.766,0.899,0.543,0.76
SKU00003,2024-02-18,4.27,0.232,0.658,0.845,0.489,0.706
SKU00003,2024-02-25,4.19,0.224,0.626,0.829,0.473,0.69
SKU00003,2024-03-03,4.56,0.261,0.774,0.903,0.547,0.764
SKU00003,2024-03-10,4.32,0.237,0.678,0.855,0.499,0.716
SKU00003,2024-03-17,4.5,0.255,0.75,0.891,0.535,0.752
SKU00003,2024-03-24,4.51,0.257,0.755,0.893,0.537,0.755
SKU00003,2024-03-31,4.42,0.247,0.717,0.874,0.518,0.736
SKU00003,2024-04-07,4.15,0.22,0.609,0.82,0.464,0.682
SKU00003,2024-04-14,4.39,0.245,0.709,0.87,0.514,0.731
SKU00003,2024-04-21,4.5,0.256,0.752,0.892,0.536,0.753
SKU00003,2024-04-28,4.16,0.221,0.614,0.823,0.467,0.684
SKU00003,2024-05-05,4.56,0.261,0.774,0.903,0.547,0.764
SKU00003,2024-05-12,4.46,0.251,0.735,0.883,0.527,0.744
SKU00003,2024-05-19,4.58,0.263,0.781,0.906,0.55,0.767
SKU00003,2024-05-26,4.44,0.25,0.728,0.88,0.524,0.741
SKU00003,2024-06-02,4.4,0.245,0.709,0.87,0.514,0.732
SKU00003,2024-06-09,4.86,0.292,0.896,0.963,0.608,0.825
SKU00003,2024-06-16,4.57,0.262,0.778,0.905,0.549,0.766
SKU00003,2024-06-23,4.56,0.262,0.775,0.903,0.547,0.764
SKU00003,2024-06-30,4.45,0.25,0.73,0.881,0.525,0.742
SKU00003,2024-07-07,4.61,0.267,0.796,0.914,0.558,0.775
SKU00003,2024-07-14,4.28,0.234,0.663,0.847,0.491,0.708
SKU00003,2024-07-21,4.64,0.27,0.808,0.919,0.564,0.781
SKU00003,2024-07-28,4.47,0.253,0.739,0.885,0.529,0.746
SKU00003,2024-08-04,4.49,0.255,0.747,0.889,0.533,0.751
SKU00003,2024-08-11,4.45,0.251,0.731,0.881,0.525,0.742
SKU00003,2024-08-18,4.38,0.244,0.705,0.868,0.512,0.729
SKU00003,2024-08-25,4.44,0.25,0.727,0.879,0.523,0.741
SKU00003,2024-09-01,4.56,0.262,0.775,0.903,0.547,0.764
SKU00003,2024-09-08,4.51,0.256,0.753,0.892,0.536,0.754
SKU00003,2024-09-15,4.45,0.25,0.731,0.881,0.525,0.742
SKU00003,2024-09-22,4.28,0.234,0.663,0.847,0.491,0.709
SKU00003,2024-09-29,4.36,0.242,0.696,0.864,0.508,0.725
SKU00003,2024-10-06,4.79,0.285,0.868,0.95,0.594,0.811
SKU00003,2024-10-13,4.32,0.238,0.68,0.856,0.5,0.717
SKU00003,2024-10-20,4.59,0.264,0.786,0.909,0.553,0.77
SKU00003,2024-10-27,4.36,0.241,0.694,0.863,0.507,0.724
SKU00003,2024-11-03,4.18,0.223,0.621,0.826,0.47,0.688
SKU00003,2024-11-10,4.38,0.243,0.702,0.867,0.511,0.728
SKU00003,2024-11-17,4.42,0.247,0.717,0.874,0.518,0.736
SKU00003,2024-11-24,4.47,0.253,0.74,0.886,0.53,0.747
SKU00003,2024-12-01,4.4,0.246,0.711,0.871,0.515,0.732
SKU00003,2024-12-08,4.54,0.259,0.766,0.899,0.543,0.76
SKU00003,2024-12-15,4.42,0.247,0.718,0.875,0.519,0.736
SKU00003,2024-12-22,4.5,0.256,0.753,0.892,0.536,0.753
SKU00003,2024-12-29,4.51,0.256,0.754,0.893,0.537,0.754
SKU00003,2025-01-05,4.33,0.239,0.684,0.858,0.502,0.719
SKU00003,2025-01-12,4.46,0.252,0.737,0.884,0.528,0.745
SKU00004,2024-01-07,4.96,0.195,0.923,0.901,0.791,0.939
SKU00004,2024-01-14,5.0,0.2,0.949,0.914,0.804,0.952
SKU00004,2024-01-21,5.0,0.204,0.97,0.925,0.814,0.962
SKU00004,2024-01-28,4.83,0.185,0.869,0.874,0.764,0.912
SKU00004,2024-02-04,4.88,0.189,0.892,0.885,0.775,0.923
SKU00004,2024-02-11,4.74,0.179,0.834,0.856,0.746,0.894
SKU00004,2024-02-18,4.81,0.184,0.862,0.871,0.76,0.908
SKU00004,2024-02-25,5.0,0.203,0.963,0.921,0.811,0.959
SKU00004,2024-03-03,4.84,0.186,0.875,0.877,0.767,0.915
SKU00004,2024-03-10,4.64,0.171,0.794,0.837,0.726,0.874
SKU00004,2024-03-17,5.0,0.206,0.98,0.93,0.819,0.967
SKU00004,2024-03-24,4.57,0.166,0.766,0.823,0.712,0.86
SKU00004,2024-03-31,4.84,0.186,0.874,0.876,0.766,0.914
SKU00004,2024-04-07,4.61,0.169,0.783,0.831,0.721,0.869
SKU00004,2024-04-14,4.86,0.188,0.882,0.88,0.77,0.918
SKU00004,2024-04-21,4.9,0.191,0.899,0.889,0.779,0.927
SKU00004,2024-04-28,4.69,0.175,0.814,0.847,0.737,0.885
SKU00004,2024-05-05,4.77,0.181,0.846,0.863,0.752,0.9
SKU00004,2024-05-12,4.76,0.18,0.842,0.861,0.75,0.898
SKU00004,2024-05-19,4.63,0.17,0.79,0.835,0.724,0.872
SKU00004,2024-05-26,5.0,0.204,0.969,0.924,0.814,0.962
SKU00004,2024-06-02,4.99,0.197,0.934,0.906,0.796,0.944
SKU00004,2024-06-09,4.7,0.175,0.816,0.848,0.737,0.885
SKU00004,2024-06-16,5.0,0.203,0.961,0.92,0.81,0.958
SKU00004,2024-06-23,4.78,0.182,0.85,0.864,0.754,0.902
SKU00004,2024-06-30,4.48,0.159,0.731,0.805,0.695,0.843
SKU00004,2024-07-07,4.9,0.19,0.897,0.888,0.778,0.926
SKU00004,2024-07-14,4.54,0.164,0.756,0.818,0.707,0.855
SKU00004,2024-07-21,5.0,0.212,1.0,0.945,0.834,0.982
SKU00004,2024-07-28,4.79,0.182,0.854,0.867,0.756,0.904
SKU00004,2024-08-04,5.0,0.199,0.941,0.91,0.8,0.948
SKU00004,2024-08-11,4.86,0.188,0.884,0.881,0.771,0.919
SKU00004,2024-08-18,4.93,0.193,0.91,0.895,0.784,0.932
SKU00004,2024-08-25,4.89,0.19,0.893,0.886,0.776,0.924
SKU00004,2024-09-01,4.84,0.186,0.874,0.877,0.766,0.914
SKU00004,2024-09-08,4.82,0.184,0.865,0.872,0.762,0.91
SKU00004,2024-09-15,4.99,0.197,0.933,0.906,0.796,0.944
SKU00004,2024-09-22,4.6,0.169,0.78,0.829,0.719,0.867
SKU00004,2024-09-29,4.85,0.187,0.877,0.878,0.768,0.916
SKU00004,2024-10-06,4.98,0.196,0.929,0.904,0.794,0.942
SKU00004,2024-10-13,4.74,0.178,0.833,0.856,0.746,0.894
SKU00004,2024-10-20,5.0,0.208,0.991,0.935,0.825,0.973
SKU00004,2024-10-27,4.66,0.173,0.803,0.841,0.731,0.879
SKU00004,2024-11-03,5.0,0.204,0.967,0.923,0.813,0.961
SKU00004,2024-11-10,4.68,0.174,0.811,0.845,0.735,0.883
SKU00004,2024-11-17,4.87,0.188,0.886,0.882,0.772,0.92
SKU00004,2024-11-24,4.76,0.18,0.841,0.86,0.75,0.898
SKU00004,2024-12-01,4.65,0.172,0.798,0.839,0.729,0.877
SKU00004,2024-12-08,4.78,0.181,0.849,0.864,0.754,0.902
SKU00004,2024-12-15,4.9,0.191,0.898,0.888,0.778,0.926
SKU00004,2024-12-22,4.64,0.171,0.796,0.837,0.727,0.875
SKU00004,2024-12-29,4.94,0.194,0.913,0.896,0.786,0.934
SKU00004,2025-01-05,5.0,0.198,0.938,0.909,0.798,0.946
SKU00004,2025-01-12,4.75,0.179,0.836,0.858,0.747,0.895
SKU00005,2024-01-07,4.74,0.339,0.789,0.889,0.724,0.85
SKU00005,2024-01-14,4.52,0.311,0.704,0.846,0.681,0.807
SKU00005,2024-01-21,4.46,0.303,0.68,0.834,0.669,0.795
SKU00005,2024-01-28,4.6,0.322,0.737,0.862,0.698,0.824
SKU00005,2024-02-04,4.74,0.339,0.79,0.889,0.724,0.85
SKU00005,2024-02-11,4.93,0.365,0.866,0.927,0.762,0.888
SKU00005,2024-02-18,4.51,0.309,0.7,0.844,0.679,0.805
SKU00005,2024-02-25,4.59,0.319,0.729,0.859,0.694,0.82
SKU00005,2024-03-03,4.63,0.325,0.746,0.867,0.702,0.828
SKU00005,2024-03-10,4.81,0.349,0.818,0.903,0.738,0.864
SKU00005,2024-03-17,4.74,0.339,0.789,0.889,0.724,0.85
SKU00005,2024-03-24,4.58,0.319,0.729,0.858,0.693,0.819
SKU00005,2024-03-31,4.54,0.313,0.712,0.85,0.685,0.811
SKU00005,2024-04-07,4.82,0.351,0.825,0.906,0.741,0.868
SKU00005,2024-04-14,4.83,0.351,0.827,0.907,0.742,0.868
SKU00005,2024-04-21,4.46,0.302,0.679,0.834,0.669,0.795
SKU00005,2024-04-28,4.84,0.352,0.829,0.909,0.744,0.87
SKU00005,2024-05-05,4.68,0.332,0.768,0.878,0.713,0.839
SKU00005,2024-05-12,4.67,0.33,0.763,0.876,0.711,0.837
SKU00005,2024-05-19,4.72,0.337,0.783,0.886,0.721,0.847
SKU00005,2024-05-26,4.76,0.342,0.799,0.893,0.729,0.855
SKU00005,2024-06-02,4.44,0.3,0.671,0.83,0.665,0.791
SKU00005,2024-06-09,5.0,0.378,0.907,0.947,0.782,0.909
SKU00005,2024-06-16,4.83,0.352,0.827,0.907,0.742,0.868
SKU00005,2024-06-23,4.7,0.335,0.776,0.882,0.717,0.843
SKU00005,2024-06-30,4.54,0.313,0.711,0.849,0.685,0.811
SKU00005,2024-07-07,4.47,0.304,0.684,0.836,0.671,0.797
SKU00005,2024-07-14,4.92,0.363,0.862,0.925,0.76,0.886
SKU00005,2024-07-21,4.71,0.335,0.777,0.883,0.718,0.844
SKU00005,2024-07-28,4.79,0.346,0.81,0.899,0.734,0.86
SKU00005,2024-08-04,4.78,0.345,0.808,0.898,0.733,0.859
SKU00005,2024-08-11,4.61,0.322,0.738,0.863,0.698,0.824
SKU00005,2024-08-18,4.7,0.334,0.775,0.882,0.717,0.843
SKU00005,2024-08-25,4.63,0.324,0.745,0.867,0.702,0.828
SKU00005,2024-09-01,4.82,0.35,0.822,0.905,0.74,0.866
SKU00005,2024-09-08,4.77,0.344,0.803,0.895,0.73,0.857
SKU00005,2024-09-15,4.64,0.326,0.75,0.869,0.704,0.83
SKU00005,2024-09-22,4.64,0.327,0.753,0.87,0.705,0.832
SKU00005,2024-09-29,4.79,0.347,0.812,0.9,0.735,0.861
SKU00005,2024-10-06,4.53,0.311,0.705,0.847,0.682,0.808
SKU00005,2024-10-13,4.79,0.347,0.812,0.9,0.735,0.861
SKU00005,2024-10-20,4.6,0.321,0.736,0.862,0.697,0.823
SKU00005,2024-10-27,4.88,0.359,0.849,0.918,0.753,0.88
SKU00005,2024-11-03,4.77,0.343,0.802,0.895,0.73,0.856
SKU00005,2024-11-10,5.0,0.391,0.947,0.967,0.802,0.928
SKU00005,2024-11-17,4.75,0.34,0.793,0.891,0.726,0.852
SKU00005,2024-11-24,4.68,0.332,0.768,0.878,0.713,0.839
SKU00005,2024-12-01,4.48,0.305,0.688,0.838,0.673,0.799
SKU00005,2024-12-08,4.76,0.342,0.797,0.893,0.728,0.854
SKU00005,2024-12-15,4.65,0.327,0.755,0.871,0.706,0.832
SKU00005,2024-12-22,4.4,0.295,0.656,0.822,0.657,0.783
SKU00005,2024-12-29,4.77,0.343,0.802,0.895,0.73,0.856
SKU00005,2025-01-05,4.42,0.298,0.665,0.826,0.661,0.788
SKU00005,2025-01-12,4.67,0.33,0.761,0.875,0.71,0.836
SKU00006,2024-01-07,4.31,0.206,0.664,0.869,0.551,0.808
SKU00006,2024-01-14,4.31,0.206,0.664,0.869,0.551,0.808
SKU00006,2024-01-21,4.55,0.226,0.761,0.917,0.6,0.856
SKU00006,2024-01-28,4.33,0.207,0.672,0.873,0.555,0.812
SKU00006,2024-02-04,4.16,0.193,0.604,0.839,0.521,0.778
SKU00006,2024-02-11,4.63,0.233,0.793,0.934,0.616,0.872
SKU00006,2024-02-18,4.45,0.218,0.721,0.897,0.58,0.836
SKU00006,2024-02-25,4.54,0.225,0.757,0.915,0.597,0.854
SKU00006,2024-03-03,4.16,0.193,0.604,0.839,0.521,0.778
SKU00006,2024-03-10,4.39,0.213,0.697,0.886,0.568,0.825
SKU00006,2024-03-17,4.48,0.22,0.731,0.902,0.585,0.841
SKU00006,2024-03-24,4.37,0.211,0.688,0.881,0.563,0.82
SKU00006,2024-03-31,4.41,0.214,0.705,0.889,0.572,0.828
SKU00006,2024-04-07,4.28,0.203,0.651,0.862,0.545,0.801
SKU00006,2024-04-14,4.39,0.212,0.696,0.885,0.567,0.824
SKU00006,2024-04-21,4.62,0.232,0.79,0.932,0.614,0.871
SKU00006,2024-04-28,4.28,0.204,0.653,0.864,0.546,0.803
SKU00006,2024-05-05,4.54,0.225,0.755,0.914,0.597,0.853
SKU00006,2024-05-12,4.32,0.207,0.668,0.871,0.553,0.81
SKU00006,2024-05-19,4.06,0.185,0.566,0.82,0.502,0.759
SKU00006,2024-05-26,4.18,0.195,0.614,0.844,0.526,0.783
SKU00006,2024-06-02,4.48,0.22,0.733,0.904,0.586,0.843
SKU00006,2024-06-09,4.26,0.202,0.645,0.859,0.542,0.798
SKU00006,2024-06-16,4.45,0.217,0.719,0.896,0.579,0.835
SKU00006,2024-06-23,4.34,0.209,0.677,0.875,0.558,0.814
SKU00006,2024-06-30,4.23,0.2,0.635,0.854,0.537,0.793
SKU00006,2024-07-07,4.5,0.222,0.743,0.908,0.591,0.847
SKU00006,2024-07-14,4.38,0.212,0.691,0.882,0.565,0.821
SKU00006,2024-07-21,4.24,0.2,0.637,0.855,0.538,0.794
SKU00006,2024-07-28,4.35,0.21,0.681,0.878,0.56,0.817
SKU00006,2024-08-04,4.29,0.204,0.656,0.865,0.547,0.804
SKU00006,2024-08-11,4.27,0.203,0.649,0.861,0.544,0.8
SKU00006,2024-08-18,4.3,0.205,0.66,0.867,0.549,0.806
SKU00006,2024-08-25,4.25,0.201,0.642,0.858,0.54,0.797
SKU00006,2024-09-01,4.21,0.197,0.623,0.849,0.531,0.788
SKU00006,2024-09-08,4.61,0.231,0.785,0.929,0.612,0.868
SKU00006,2024-09-15,4.33,0.207,0.671,0.873,0.555,0.812
SKU00006,2024-09-22,4.48,0.22,0.733,0.903,0.586,0.842
SKU00006,2024-09-29,4.46,0.219,0.726,0.9,0.582,0.839
SKU00006,2024-10-06,4.37,0.211,0.688,0.881,0.563,0.82
SKU00006,2024-10-13,4.11,0.189,0.583,0.828,0.511,0.767
SKU00006,2024-10-20,4.13,0.191,0.591,0.833,0.515,0.772
SKU00006,2024-10-27,4.39,0.213,0.698,0.886,0.568,0.825
SKU00006,2024-11-03,4.35,0.21,0.682,0.878,0.56,0.817
SKU00006,2024-11-10,4.26,0.202,0.645,0.859,0.542,0.798
SKU00006,2024-11-17,4.21,0.197,0.623,0.849,0.531,0.788
SKU00006,2024-11-24,4.16,0.193,0.604,0.839,0.521,0.778
SKU00006,2024-12-01,4.52,0.224,0.751,0.912,0.595,0.851
SKU00006,2024-12-08,4.33,0.208,0.673,0.874,0.556,0.813
SKU00006,2024-12-15,4.63,0.233,0.792,0.933,0.615,0.872
SKU00006,2024-12-22,4.12,0.19,0.59,0.832,0.514,0.771
SKU00006,2024-12-29,4.46,0.219,0.726,0.9,0.582,0.839
SKU00006,2025-01-05,4.41,0.215,0.705,0.89,0.572,0.828
SKU00006,2025-01-12,4.56,0.227,0.763,0.918,0.601,0.857
SKU00007,2024-01-07,3.91,0.135,0.396,0.887,0.517,0.724
SKU00007,2024-01-14,3.99,0.14,0.428,0.903,0.533,0.74
SKU00007,2024-01-21,3.74,0.126,0.329,0.854,0.483,0.69
SKU00007,2024-01-28,4.03,0.142,0.444,0.911,0.541,0.747
SKU00007,2024-02-04,4.22,0.152,0.519,0.949,0.578,0.785
SKU00007,2024-02-11,4.01,0.141,0.436,0.907,0.537,0.743
SKU00007,2024-02-18,4.18,0.149,0.503,0.941,0.57,0.777
SKU00007,2024-02-25,3.76,0.127,0.334,0.856,0.486,0.693
SKU00007,2024-03-03,4.14,0.147,0.487,0.933,0.562,0.769
SKU00007,2024-03-10,4.06,0.143,0.457,0.918,0.548,0.754
SKU00007,2024-03-17,4.12,0.146,0.478,0.928,0.558,0.765
SKU00007,2024-03-24,4.08,0.144,0.464,0.921,0.551,0.757
SKU00007,2024-03-31,3.68,0.123,0.305,0.842,0.471,0.678
SKU00007,2024-04-07,4.02,0.141,0.439,0.909,0.539,0.745
SKU00007,2024-04-14,3.81,0.13,0.357,0.868,0.497,0.704
SKU00007,2024-04-21,4.02,0.141,0.441,0.91,0.539,0.746
SKU00007,2024-04-28,4.11,0.146,0.474,0.926,0.556,0.763
SKU00007,2024-05-05,3.94,0.137,0.406,0.892,0.522,0.729
SKU00007,2024-05-12,4.02,0.141,0.441,0.91,0.539,0.746
SKU00007,2024-05-19,3.98,0.139,0.424,0.901,0.531,0.738
SKU00007,2024-05-26,3.95,0.137,0.41,0.894,0.524,0.731
SKU00007,2024-06-02,4.09,0.145,0.469,0.924,0.553,0.76
SKU00007,2024-06-09,4.0,0.14,0.431,0.905,0.534,0.741
SKU00007,2024-06-16,4.11,0.146,0.475,0.927,0.556,0.763
SKU00007,2024-06-23,3.76,0.127,0.334,0.856,0.486,0.693
SKU00007,2024-06-30,3.88,0.133,0.382,0.88,0.51,0.717
SKU00007,2024-07-07,3.75,0.126,0.33,0.854,0.484,0.691
SKU00007,2024-07-14,3.81,0.13,0.354,0.866,0.496,0.703
SKU00007,2024-07-21,3.89,0.134,0.386,0.882,0.512,0.719
SKU00007,2024-07-28,3.96,0.138,0.415,0.897,0.526,0.733
SKU00007,2024-08-04,4.01,0.141,0.436,0.907,0.537,0.744
SKU00007,2024-08-11,3.72,0.125,0.32,0.849,0.479,0.686
SKU00007,2024-08-18,4.01,0.14,0.435,0.907,0.536,0.743
SKU00007,2024-08-25,4.02,0.141,0.441,0.91,0.539,0.746
SKU00007,2024-09-01,4.06,0.143,0.457,0.918,0.547,0.754
SKU00007,2024-09-08,3.99,0.139,0.426,0.902,0.532,0.739
SKU00007,2024-09-15,3.91,0.135,0.396,0.887,0.517,0.724
SKU00007,2024-09-22,3.93,0.136,0.403,0.891,0.521,0.727
SKU00007,2024-09-29,3.83,0.131,0.364,0.871,0.501,0.707
SKU00007,2024-10-06,3.92,0.136,0.399,0.889,0.519,0.725
SKU00007,2024-10-13,3.84,0.131,0.366,0.872,0.502,0.709
SKU00007,2024-10-20,3.55,0.116,0.251,0.815,0.444,0.651
SKU00007,2024-10-27,4.05,0.143,0.451,0.915,0.544,0.751
SKU00007,2024-11-03,3.86,0.132,0.374,0.876,0.506,0.713
SKU00007,2024-11-10,3.88,0.134,0.385,0.882,0.511,0.718
SKU00007,2024-11-17,3.71,0.124,0.315,0.847,0.476,0.683
SKU00007,2024-11-24,3.84,0.132,0.369,0.874,0.503,0.71
SKU00007,2024-12-01,4.04,0.142,0.447,0.913,0.542,0.749
SKU00007,2024-12-08,3.95,0.137,0.41,0.894,0.524,0.731
SKU00007,2024-12-15,4.0,0.14,0.431,0.905,0.534,0.741
SKU00007,2024-12-22,3.91,0.135,0.397,0.888,0.517,0.724
SKU00007,2024-12-29,3.96,0.138,0.414,0.896,0.526,0.733
